JunctionID,StreetIntersectCount,JunctionType,x,y
89,2,Junction,-123.2057505,49.23694286
90,4,Junction,-123.2058576,49.26895739
91,4,Junction,-123.2058153,49.27013411
92,4,Junction,-123.2057733,49.27129037
93,3,Junction,-123.2057451,49.27207625
94,3,Junction,-123.2057145,49.27290813
95,3,Junction,-123.2056882,49.27364281
96,3,Junction,-123.2056421,49.27489724
97,1,Dead end,-123.2056223,49.27545431
98,3,Junction,-123.2051112,49.2701446
99,2,Junction,-123.2049546,49.2493104
100,2,Psudo,-123.2050219,49.26932248
101,3,Junction,-123.2044227,49.23627069
102,3,Junction,-123.2041796,49.23665858
103,2,Psudo,-123.2041207,49.22969288
104,2,Psudo,-123.2041005,49.23568986
105,3,Junction,-123.2039559,49.23024315
106,3,Junction,-123.2039804,49.2701267
107,1,Dead end,-123.2037718,49.23084108
108,3,Junction,-123.2031856,49.25819533
109,3,Junction,-123.2031318,49.24839728
110,4,Junction,-123.2031655,49.25919008
111,4,Junction,-123.2031335,49.26009417
112,3,Junction,-123.2029829,49.22983709
113,4,Junction,-123.2031022,49.26099824
114,4,Junction,-123.2030709,49.2619023
115,4,Junction,-123.2030388,49.26280541
116,4,Junction,-123.2030068,49.26372777
117,4,Junction,-123.2029761,49.26461358
118,4,Junction,-123.2029469,49.26548038
119,3,Junction,-123.2028834,49.26718737
120,4,Junction,-123.202842,49.26825917
121,3,Junction,-123.202824,49.2687931
122,3,Junction,-123.2028202,49.26890723
123,3,Junction,-123.2027981,49.26950316
124,3,Junction,-123.2027757,49.27010724
125,2,Junction,-123.2027336,49.2712415
126,3,Junction,-123.2027214,49.27156894
127,1,Dead end,-123.2025581,49.27596504
128,1,Dead end,-123.2022948,49.23565297
129,3,Junction,-123.2020121,49.23610261
130,3,Junction,-123.2016582,49.24897086
131,3,Junction,-123.2014272,49.2688837
132,3,Junction,-123.2013426,49.26545624
133,3,Junction,-123.2012139,49.24743532
134,3,Junction,-123.2012031,49.26458632
135,3,Junction,-123.2001506,49.22865336
136,2,Psudo,-123.2001655,49.23503577
137,3,Junction,-123.200161,49.25814911
138,4,Junction,-123.2001254,49.25914319
139,4,Junction,-123.2000918,49.26004774
140,4,Junction,-123.2000614,49.26095129
141,4,Junction,-123.2000291,49.2618559
142,4,Junction,-123.1999121,49.23544143
143,4,Junction,-123.1999993,49.26275953
144,4,Junction,-123.1999666,49.26368251
145,1,Dead end,-123.1997605,49.22905358
146,1,Dead end,-123.1997495,49.23570141
147,3,Junction,-123.1997508,49.26543325
148,1,Dead end,-123.1993871,49.24910602
149,3,Junction,-123.1994522,49.26885026
150,1,Dead end,-123.1987155,49.23402645
151,1,Dead end,-123.1986729,49.25010432
152,2,Psudo,-123.1984723,49.22968969
153,3,Junction,-123.1983888,49.227188
154,4,Junction,-123.1983763,49.22834134
155,3,Junction,-123.1982732,49.23390745
156,3,Junction,-123.1982572,49.23454931
157,2,Junction,-123.1974255,49.2264886
158,1,Dead end,-123.1973458,49.234393
159,2,Psudo,-123.197103,49.22764525
160,3,Junction,-123.1970957,49.2283355
161,2,Psudo,-123.1970767,49.23004966
162,3,Junction,-123.1971207,49.25810357
163,2,Psudo,-123.196995,49.23285361
164,4,Junction,-123.1970862,49.25909732
165,4,Junction,-123.1970539,49.26000044
166,4,Junction,-123.1970224,49.26090402
167,4,Junction,-123.1969912,49.26180901
168,3,Junction,-123.1968719,49.23646595
169,3,Junction,-123.1968529,49.2356383
170,3,Junction,-123.1968599,49.23762688
171,4,Junction,-123.1969582,49.26271413
172,3,Junction,-123.19685,49.23861234
173,2,Junction,-123.1968306,49.23481696
174,3,Junction,-123.1968432,49.23956229
175,3,Junction,-123.196836,49.24052132
176,4,Junction,-123.1969243,49.26363756
177,3,Junction,-123.1968257,49.24146969
178,3,Junction,-123.1968153,49.24241803
179,3,Junction,-123.1968078,49.2433675
180,3,Junction,-123.1968897,49.2646161
181,3,Junction,-123.1968006,49.24431646
182,3,Junction,-123.1967935,49.24526548
183,4,Junction,-123.1967822,49.24623429
184,3,Junction,-123.1966957,49.23476591
185,3,Junction,-123.1967394,49.24716545
186,3,Junction,-123.1966964,49.24811325
187,3,Junction,-123.1966106,49.25009939
188,3,Junction,-123.1965951,49.25199826
189,3,Junction,-123.1965875,49.25290376
190,3,Junction,-123.196581,49.25380865
191,3,Junction,-123.1965736,49.25471224
192,3,Junction,-123.196566,49.25561628
193,3,Junction,-123.1965595,49.25651976
194,3,Junction,-123.196551,49.25752177
195,3,Junction,-123.1965467,49.25809536
196,3,Junction,-123.1964884,49.26466316
197,3,Junction,-123.1957631,49.26493245
198,3,Junction,-123.1955862,49.26537299
199,3,Junction,-123.1953348,49.26455784
200,2,Junction,-123.1947012,49.2298473
201,2,Psudo,-123.1940583,49.23065514
202,3,Junction,-123.194079,49.25805988
203,3,Junction,-123.1940443,49.25905138
204,4,Junction,-123.1940127,49.25995523
205,4,Junction,-123.1939814,49.26085931
206,4,Junction,-123.1939494,49.26176485
207,4,Junction,-123.1939183,49.26266928
208,2,Psudo,-123.1937861,49.23185864
209,4,Junction,-123.1938859,49.26359233
210,4,Junction,-123.193735,49.23370919
211,4,Junction,-123.1937291,49.23645688
212,4,Junction,-123.1937256,49.23760616
213,4,Junction,-123.1937066,49.23476472
214,3,Junction,-123.1936979,49.23562906
215,4,Junction,-123.1936983,49.23860194
216,4,Junction,-123.1936938,49.23955151
217,4,Junction,-123.1936882,49.24049689
218,4,Junction,-123.1936742,49.24144425
219,4,Junction,-123.1936592,49.2424032
220,4,Junction,-123.1936493,49.24335402
221,4,Junction,-123.1936408,49.24430364
222,4,Junction,-123.1936315,49.24525368
223,4,Junction,-123.1936224,49.24620371
224,4,Junction,-123.1936131,49.2480991
225,3,Junction,-123.193603,49.2471524
226,4,Junction,-123.1935938,49.25008744
227,3,Junction,-123.1935904,49.25108318
228,4,Junction,-123.1935824,49.25198775
229,4,Junction,-123.1935734,49.25289219
230,4,Junction,-123.1935647,49.25379695
231,4,Junction,-123.1935558,49.254701
232,4,Junction,-123.1935473,49.25560558
233,4,Junction,-123.1935413,49.25651111
234,4,Junction,-123.1935346,49.25747549
235,3,Junction,-123.1935306,49.25805142
236,4,Junction,-123.1934781,49.26510122
237,2,Psudo,-123.1934354,49.26494944
238,2,Junction,-123.1924191,49.23070998
239,4,Junction,-123.1923446,49.23319799
240,4,Junction,-123.1923225,49.23476416
241,3,Junction,-123.1923052,49.23645288
242,3,Junction,-123.1922415,49.24619743
243,3,Junction,-123.1922335,49.24809268
244,1,Dead end,-123.1919495,49.27010363
245,1,Dead end,-123.1919408,49.27097677
246,1,Dead end,-123.1912414,49.22086208
247,3,Junction,-123.1910965,49.22553495
248,1,Dead end,-123.1911195,49.23228445
249,3,Junction,-123.1910675,49.22653051
250,3,Junction,-123.1910411,49.22751197
251,2,Junction,-123.1910118,49.2283242
252,1,Dead end,-123.1910224,49.23162701
253,3,Junction,-123.1910081,49.23070306
254,4,Junction,-123.190953,49.23269527
255,3,Junction,-123.1910418,49.25801302
256,4,Junction,-123.1909529,49.23644887
257,4,Junction,-123.1909463,49.23759688
258,4,Junction,-123.190922,49.23476368
259,4,Junction,-123.1909367,49.23858844
260,4,Junction,-123.1909342,49.23953938
261,3,Junction,-123.1910055,49.25900674
262,4,Junction,-123.1909254,49.2404865
263,3,Junction,-123.1908669,49.22832344
264,4,Junction,-123.190911,49.24144033
265,4,Junction,-123.1909732,49.25991036
266,4,Junction,-123.1908971,49.24238979
267,3,Junction,-123.1908889,49.24334108
268,4,Junction,-123.1908807,49.24429596
269,4,Junction,-123.1909416,49.26081542
270,4,Junction,-123.1908699,49.24524454
271,4,Junction,-123.1908599,49.24619169
272,4,Junction,-123.1909099,49.26171897
273,4,Junction,-123.1908512,49.24808632
274,3,Junction,-123.1908413,49.2490358
275,4,Junction,-123.1908331,49.25007759
276,4,Junction,-123.1908792,49.26262453
277,4,Junction,-123.1908249,49.25107308
278,4,Junction,-123.1908167,49.25197755
279,4,Junction,-123.190808,49.25288198
280,4,Junction,-123.1908477,49.26354685
281,4,Junction,-123.1907988,49.25378677
282,4,Junction,-123.1907914,49.25469175
283,4,Junction,-123.190782,49.25559625
284,4,Junction,-123.1907765,49.25650018
285,4,Junction,-123.1907713,49.25743244
286,3,Junction,-123.1907683,49.25800913
287,3,Junction,-123.1906432,49.26870125
288,3,Junction,-123.1906082,49.2695939
289,3,Junction,-123.1905876,49.27009526
290,3,Junction,-123.1897116,49.23223351
291,4,Junction,-123.1896355,49.23476272
292,2,Junction,-123.1896136,49.23069622
293,3,Junction,-123.1895935,49.23644505
294,3,Junction,-123.1895588,49.23217645
295,2,Junction,-123.1894514,49.27008823
296,3,Junction,-123.1894455,49.27046794
297,3,Junction,-123.1894306,49.27138036
298,3,Junction,-123.1894268,49.2716036
299,4,Junction,-123.1884447,49.23176036
300,1,Dead end,-123.1884343,49.23012245
301,4,Junction,-123.1883544,49.23476207
302,4,Junction,-123.1881938,49.23644084
303,4,Junction,-123.1881851,49.2375852
304,4,Junction,-123.1881812,49.23858008
305,4,Junction,-123.1881752,49.23953003
306,4,Junction,-123.188162,49.24047673
307,4,Junction,-123.1881534,49.24142815
308,3,Junction,-123.1881434,49.24237684
309,3,Junction,-123.188121,49.24428252
310,4,Junction,-123.1881102,49.24523111
311,3,Junction,-123.1880994,49.24617978
312,1,Dead end,-123.1880937,49.24712377
313,3,Junction,-123.1880893,49.24807085
314,4,Junction,-123.1880798,49.24902137
315,4,Junction,-123.1880715,49.25006695
316,4,Junction,-123.1880607,49.25106136
317,4,Junction,-123.1880524,49.25196867
318,4,Junction,-123.1880435,49.25287173
319,4,Junction,-123.1880354,49.25377626
320,4,Junction,-123.1880263,49.25468119
321,4,Junction,-123.1880187,49.25558567
322,4,Junction,-123.1880109,49.2564892
323,4,Junction,-123.1880048,49.25739181
324,4,Junction,-123.1880006,49.25796729
325,4,Junction,-123.1879651,49.25896141
326,4,Junction,-123.1879328,49.25986644
327,4,Junction,-123.1879005,49.26076953
328,4,Junction,-123.1878682,49.26167556
329,4,Junction,-123.1878364,49.26257919
330,4,Junction,-123.1878066,49.26350237
331,4,Junction,-123.1877711,49.26438902
332,4,Junction,-123.1877364,49.26525749
333,3,Junction,-123.1877032,49.2660964
334,3,Junction,-123.1876699,49.26693482
335,3,Junction,-123.1876361,49.26779162
336,4,Junction,-123.1876026,49.2686497
337,4,Junction,-123.1875669,49.26954317
338,4,Junction,-123.187531,49.27043596
339,4,Junction,-123.1874953,49.27134791
340,3,Junction,-123.1874569,49.27229399
341,3,Junction,-123.1869636,49.22830117
342,4,Junction,-123.1868957,49.23118176
343,4,Junction,-123.1868261,49.23476176
344,3,Junction,-123.1867949,49.23643688
345,3,Junction,-123.1867353,49.24617388
346,4,Junction,-123.1867279,49.24711822
347,3,Junction,-123.1867205,49.24806574
348,3,Junction,-123.1860739,49.25793803
349,4,Junction,-123.1860382,49.25893261
350,4,Junction,-123.186005,49.25983672
351,3,Junction,-123.1859725,49.26074174
352,2,Junction,-123.1859414,49.26117552
353,4,Junction,-123.1859245,49.26164527
354,4,Junction,-123.1858918,49.26254981
355,4,Junction,-123.1858735,49.2634736
356,4,Junction,-123.1858413,49.26435866
357,4,Junction,-123.185809,49.26522323
358,4,Junction,-123.1857791,49.26606328
359,4,Junction,-123.1857504,49.26690309
360,4,Junction,-123.1857189,49.26776011
361,4,Junction,-123.185687,49.26861743
362,2,Junction,-123.1855063,49.22549799
363,4,Junction,-123.1856541,49.26951052
364,4,Junction,-123.1854902,49.22649301
365,4,Junction,-123.1854746,49.22747347
366,4,Junction,-123.1856212,49.27040429
367,3,Junction,-123.1854616,49.22829266
368,3,Junction,-123.1854574,49.22855876
369,3,Junction,-123.1854445,49.22935619
370,4,Junction,-123.1855858,49.27131629
371,4,Junction,-123.1854188,49.23064114
372,4,Junction,-123.1855509,49.27226262
373,3,Junction,-123.1853778,49.23221236
374,3,Junction,-123.1855285,49.27288305
375,1,Dead end,-123.1855149,49.27325178
376,3,Junction,-123.1853605,49.23285438
377,3,Junction,-123.185342,49.23380658
378,4,Junction,-123.1853236,49.23476066
379,3,Junction,-123.1853054,49.23569624
380,4,Junction,-123.1852921,49.23643239
381,3,Junction,-123.1852914,49.236901
382,3,Junction,-123.1852857,49.23757501
383,3,Junction,-123.1852844,49.23773593
384,4,Junction,-123.1852767,49.23856966
385,4,Junction,-123.1852725,49.2395185
386,4,Junction,-123.1852644,49.24046706
387,4,Junction,-123.1852555,49.2414163
388,4,Junction,-123.1852477,49.24236312
389,3,Junction,-123.1852356,49.24331507
390,4,Junction,-123.1852238,49.24426774
391,4,Junction,-123.1852149,49.24521586
392,4,Junction,-123.1852061,49.24616573
393,4,Junction,-123.1851981,49.24711547
394,4,Junction,-123.1851889,49.2480613
395,4,Junction,-123.1851809,49.24901297
396,3,Junction,-123.1852204,49.26068411
397,4,Junction,-123.1851705,49.25005519
398,4,Junction,-123.1851605,49.25105076
399,4,Junction,-123.1851508,49.25195566
400,4,Junction,-123.1851418,49.25285999
401,4,Junction,-123.1851328,49.25376512
402,4,Junction,-123.1851238,49.2546696
403,4,Junction,-123.1851148,49.2555739
404,4,Junction,-123.1851119,49.25647839
405,4,Junction,-123.1851027,49.25734613
406,3,Junction,-123.1850969,49.25792356
407,2,Psudo,-123.184506,49.23157306
408,2,Junction,-123.1842185,49.21803996
409,3,Junction,-123.1840006,49.25790717
410,4,Junction,-123.183965,49.25890171
411,4,Junction,-123.1839322,49.25980614
412,2,Junction,-123.1839,49.26070861
413,4,Junction,-123.1838677,49.26161269
414,3,Junction,-123.1837066,49.21931317
415,4,Junction,-123.1838353,49.26251777
416,4,Junction,-123.1838024,49.26344081
417,2,Psudo,-123.1837864,49.26388786
418,4,Junction,-123.1837704,49.26432592
419,4,Junction,-123.1837384,49.26519288
420,4,Junction,-123.1837079,49.26603197
421,1,Dead end,-123.1835736,49.23077722
422,4,Junction,-123.1836774,49.26687047
423,4,Junction,-123.1836454,49.26772532
424,4,Junction,-123.1836016,49.26858425
425,4,Junction,-123.1835812,49.26947784
426,2,Junction,-123.1835723,49.27279429
427,4,Junction,-123.1835481,49.27037115
428,3,Junction,-123.1834504,49.24805491
429,4,Junction,-123.1834409,49.24900501
430,4,Junction,-123.1835134,49.2712827
431,3,Junction,-123.1834307,49.25004839
432,4,Junction,-123.1834817,49.27213503
433,1,Dead end,-123.1829296,49.22652123
434,3,Junction,-123.1828066,49.22150616
435,2,Junction,-123.1821608,49.22745031
436,4,Junction,-123.1820737,49.2285353
437,3,Junction,-123.1820594,49.22933369
438,4,Junction,-123.1820455,49.23014918
439,3,Junction,-123.1820337,49.23168983
440,2,Junction,-123.1820002,49.22348605
441,4,Junction,-123.1820299,49.23214923
442,4,Junction,-123.1820227,49.23284914
443,4,Junction,-123.1820174,49.23380114
444,4,Junction,-123.1820105,49.23475395
445,4,Junction,-123.1820036,49.23567785
446,4,Junction,-123.1819989,49.23641647
447,4,Junction,-123.1819922,49.23688914
448,3,Junction,-123.1820669,49.25787788
449,4,Junction,-123.1819884,49.237722
450,4,Junction,-123.1819781,49.23855815
451,4,Junction,-123.1819767,49.23950565
452,4,Junction,-123.1820303,49.25887174
453,4,Junction,-123.1819617,49.24045442
454,4,Junction,-123.1819535,49.24140389
455,4,Junction,-123.181945,49.2423534
456,4,Junction,-123.1819988,49.25977484
457,4,Junction,-123.1819347,49.2433057
458,4,Junction,-123.1819234,49.24425418
459,4,Junction,-123.1819155,49.24520275
460,4,Junction,-123.1819656,49.26067892
461,4,Junction,-123.1819065,49.24615223
462,4,Junction,-123.1818976,49.24710036
463,4,Junction,-123.1819334,49.26158247
464,4,Junction,-123.1818703,49.25004211
465,4,Junction,-123.1818604,49.251037
466,4,Junction,-123.1818994,49.26248655
467,4,Junction,-123.1818516,49.25194099
468,4,Junction,-123.1818425,49.25284687
469,4,Junction,-123.1818332,49.25375131
470,4,Junction,-123.1818665,49.26341059
471,4,Junction,-123.1818259,49.25465602
472,4,Junction,-123.1817914,49.24804879
473,4,Junction,-123.1818173,49.25556093
474,4,Junction,-123.1817825,49.24899736
475,4,Junction,-123.1818087,49.2564641
476,4,Junction,-123.1818345,49.2642957
477,3,Junction,-123.1818021,49.25729759
478,3,Junction,-123.1817976,49.25787391
479,4,Junction,-123.1817954,49.2651632
480,4,Junction,-123.1817727,49.26600134
481,4,Junction,-123.1817419,49.26683931
482,4,Junction,-123.1817115,49.26769288
483,4,Junction,-123.1816802,49.26855326
484,4,Junction,-123.1816471,49.26944711
485,4,Junction,-123.1816139,49.27034047
486,4,Junction,-123.1815801,49.27125157
487,3,Junction,-123.1815546,49.27193786
488,1,Dead end,-123.1813194,49.22853002
489,1,Dead end,-123.1806548,49.21767033
490,3,Junction,-123.1807813,49.25785858
491,3,Junction,-123.1803205,49.23014117
492,1,Dead end,-123.1802024,49.21677226
493,1,Dead end,-123.1802193,49.25690465
494,1,Dead end,-123.1799917,49.23122642
495,3,Junction,-123.1800648,49.25645748
496,3,Junction,-123.1800625,49.25784732
497,4,Junction,-123.1800269,49.2588391
498,4,Junction,-123.1799945,49.2597431
499,4,Junction,-123.1799641,49.260645
500,4,Junction,-123.1799297,49.26155132
501,4,Junction,-123.1798965,49.26245485
502,4,Junction,-123.1798631,49.26337936
503,4,Junction,-123.1798309,49.26426401
504,4,Junction,-123.1797999,49.26512941
505,4,Junction,-123.1797691,49.26596968
506,2,Junction,-123.1797136,49.25645606
507,4,Junction,-123.1797389,49.26680773
508,4,Junction,-123.1797079,49.26765923
509,4,Junction,-123.1796755,49.26852147
510,4,Junction,-123.179644,49.26941618
511,4,Junction,-123.1796121,49.27030835
512,4,Junction,-123.1795796,49.27121871
513,4,Junction,-123.1795618,49.27173402
514,1,Dead end,-123.1795491,49.27207579
515,3,Junction,-123.1792079,49.25464538
516,3,Junction,-123.1791989,49.25555127
517,4,Junction,-123.1790297,49.21856599
518,4,Junction,-123.1789482,49.22145983
519,4,Junction,-123.178893,49.22345106
520,3,Junction,-123.1788669,49.2243999
521,3,Junction,-123.1788377,49.22543962
522,3,Junction,-123.1787823,49.22742947
523,3,Junction,-123.1787559,49.22851297
524,4,Junction,-123.1787162,49.23014252
525,3,Junction,-123.1787125,49.23212894
526,4,Junction,-123.1787116,49.23284085
527,3,Junction,-123.1787098,49.23379408
528,4,Junction,-123.1787061,49.23474818
529,3,Junction,-123.1787014,49.23566471
530,3,Junction,-123.1786957,49.23640104
531,3,Junction,-123.1786937,49.23664614
532,3,Junction,-123.1786919,49.23687468
533,4,Junction,-123.1786846,49.23771001
534,4,Junction,-123.1786782,49.23854569
535,4,Junction,-123.1786701,49.23949573
536,4,Junction,-123.1786617,49.24044473
537,4,Junction,-123.1786526,49.24139195
538,4,Junction,-123.1786437,49.2423406
539,4,Junction,-123.1786331,49.24328917
540,4,Junction,-123.1786263,49.24423984
541,4,Junction,-123.1786171,49.24518895
542,4,Junction,-123.1786087,49.24613753
543,4,Junction,-123.1785996,49.247087
544,4,Junction,-123.1785898,49.248037
545,4,Junction,-123.1785808,49.24898603
546,4,Junction,-123.17857,49.25002538
547,4,Junction,-123.1785608,49.25102117
548,4,Junction,-123.1785517,49.25192806
549,4,Junction,-123.1785433,49.25283249
550,4,Junction,-123.1785346,49.25373744
551,4,Junction,-123.1785257,49.2546427
552,4,Junction,-123.178511,49.25618483
553,3,Junction,-123.1782203,49.25718616
554,4,Junction,-123.1780614,49.25781156
555,4,Junction,-123.1780243,49.25880637
556,4,Junction,-123.1779918,49.25971173
557,4,Junction,-123.1779593,49.26061587
558,4,Junction,-123.1779261,49.2615195
559,4,Junction,-123.1778937,49.26242344
560,4,Junction,-123.1778606,49.26334811
561,1,Dead end,-123.1777157,49.23282735
562,4,Junction,-123.1778284,49.26423262
563,4,Junction,-123.1777978,49.26509802
564,3,Junction,-123.177637,49.22144436
565,4,Junction,-123.1777655,49.26593783
566,3,Junction,-123.1775822,49.2234361
567,4,Junction,-123.1777344,49.26677565
568,4,Junction,-123.1777031,49.26762554
569,4,Junction,-123.1776718,49.26849056
570,1,Dead end,-123.1774861,49.22438405
571,4,Junction,-123.1776402,49.26938362
572,4,Junction,-123.1776082,49.27027644
573,4,Junction,-123.1775765,49.27118985
574,3,Junction,-123.1775642,49.27152941
575,1,Dead end,-123.177293,49.23022199
576,3,Junction,-123.1767262,49.2347449
577,3,Junction,-123.1767087,49.23663849
578,4,Junction,-123.1766905,49.25472745
579,2,Psudo,-123.1765862,49.2541821
580,1,Dead end,-123.1761981,49.2167193
581,4,Junction,-123.176171,49.21769625
582,3,Junction,-123.1761227,49.21943584
583,3,Junction,-123.1762283,49.25372767
584,4,Junction,-123.1760674,49.22142876
585,4,Junction,-123.1760122,49.22341951
586,4,Junction,-123.1761279,49.25778149
587,3,Junction,-123.1760962,49.25553755
588,4,Junction,-123.1760917,49.25877642
589,4,Junction,-123.175957,49.22540526
590,4,Junction,-123.1760588,49.2596818
591,4,Junction,-123.1760259,49.26058599
592,4,Junction,-123.175902,49.22739747
593,4,Junction,-123.175993,49.26148972
594,4,Junction,-123.1758718,49.2284796
595,4,Junction,-123.1758555,49.22906252
596,4,Junction,-123.1759601,49.26239371
597,3,Junction,-123.1758325,49.23073535
598,3,Junction,-123.1758286,49.23102377
599,3,Junction,-123.1758166,49.23190246
600,4,Junction,-123.1759276,49.26331809
601,3,Junction,-123.1758043,49.23279578
602,4,Junction,-123.1758951,49.26419931
603,3,Junction,-123.1757953,49.23663497
604,4,Junction,-123.1757867,49.23758481
605,4,Junction,-123.1757781,49.23853435
606,4,Junction,-123.1758633,49.26506944
607,4,Junction,-123.1757694,49.23948431
608,4,Junction,-123.1757608,49.24043344
609,3,Junction,-123.1757252,49.23376839
610,4,Junction,-123.1757498,49.24138089
611,4,Junction,-123.1758326,49.26590845
612,3,Junction,-123.175715,49.23474325
613,4,Junction,-123.1757389,49.2423295
614,4,Junction,-123.175728,49.24327824
615,4,Junction,-123.1758019,49.26674669
616,3,Junction,-123.1757171,49.24422814
617,2,Junction,-123.1757119,49.24517785
618,4,Junction,-123.1757036,49.24612689
619,4,Junction,-123.1757709,49.26759302
620,4,Junction,-123.1756954,49.2470757
621,4,Junction,-123.1756872,49.24802554
622,4,Junction,-123.175679,49.24897471
623,4,Junction,-123.1757399,49.26846091
624,4,Junction,-123.1756689,49.25001554
625,4,Junction,-123.1756583,49.2510101
626,4,Junction,-123.1756487,49.25191586
627,4,Junction,-123.1757065,49.26935282
628,4,Junction,-123.175639,49.25281967
629,2,Junction,-123.1756405,49.25663328
630,4,Junction,-123.1756734,49.27024606
631,3,Junction,-123.1755862,49.25304163
632,3,Junction,-123.1756403,49.27114922
633,3,Junction,-123.1756341,49.27131884
634,3,Junction,-123.1753997,49.25463029
635,4,Junction,-123.1751936,49.2528177
636,3,Junction,-123.1749475,49.25403948
637,3,Junction,-123.174506,49.25372087
638,3,Junction,-123.1743008,49.2284614
639,3,Junction,-123.1743699,49.25552992
640,3,Junction,-123.1743587,49.25660485
641,3,Junction,-123.1743467,49.25775377
642,3,Junction,-123.174192,49.25775136
643,4,Junction,-123.1741561,49.25874636
644,4,Junction,-123.1741233,49.25965174
645,3,Junction,-123.1740681,49.25190947
646,4,Junction,-123.1740906,49.26055598
647,4,Junction,-123.174058,49.26145984
648,4,Junction,-123.1740253,49.26236394
649,4,Junction,-123.1739928,49.26328803
650,4,Junction,-123.1739609,49.26416574
651,4,Junction,-123.173929,49.26504068
652,4,Junction,-123.1738985,49.2658794
653,4,Junction,-123.173868,49.2667176
654,4,Junction,-123.1738373,49.26756046
655,4,Junction,-123.1738055,49.26843144
656,4,Junction,-123.173773,49.26932192
657,4,Junction,-123.1737405,49.27021525
658,3,Junction,-123.1735816,49.2281833
659,3,Junction,-123.1737077,49.27110863
660,3,Junction,-123.1733984,49.25281208
661,2,Psudo,-123.1732612,49.21687443
662,3,Junction,-123.1731921,49.21687382
663,3,Junction,-123.173114,49.21940079
664,4,Junction,-123.1730489,49.22139614
665,4,Junction,-123.1730722,49.23100604
