JunctionID,StreetIntersectCount,JunctionType,longitude,latitude,Vulnerability
162,3,Junction,-123.1971207,49.25810357,0.0
163,2,Psudo,-123.196995,49.23285361,0.0
164,4,Junction,-123.1970862,49.25909732,0.7856781408072188
165,4,Junction,-123.1970539,49.26000044,0.0
166,4,Junction,-123.1970224,49.26090402,0.3927110283578048
167,4,Junction,-123.1969912,49.26180901,0.0
168,3,Junction,-123.1968719,49.23646595,0.0
169,3,Junction,-123.1968529,49.2356383,0.4849913702741628
170,3,Junction,-123.1968599,49.23762688,0.0
171,4,Junction,-123.1969582,49.26271413,0.3411660615140424
172,3,Junction,-123.19685,49.23861234,0.6622820409839835
173,2,Junction,-123.1968306,49.23481696,0.0
174,3,Junction,-123.1968432,49.23956229,0.0
175,3,Junction,-123.196836,49.24052132,0.0
176,4,Junction,-123.1969243,49.26363756,1.1789525000163703
177,3,Junction,-123.1968257,49.24146969,0.0
178,3,Junction,-123.1968153,49.24241803,0.0
179,3,Junction,-123.1968078,49.2433675,0.0
180,3,Junction,-123.1968897,49.2646161,0.0
181,3,Junction,-123.1968006,49.24431646,0.0
182,3,Junction,-123.1967935,49.24526548,0.0
183,4,Junction,-123.1967822,49.24623429,0.0
184,3,Junction,-123.1966957,49.23476591,0.0
185,3,Junction,-123.1967394,49.24716545,0.0
186,3,Junction,-123.1966964,49.24811325,0.0
187,3,Junction,-123.1966106,49.25009939,0.0
188,3,Junction,-123.1965951,49.25199826,0.0
189,3,Junction,-123.1965875,49.25290376,0.0
190,3,Junction,-123.196581,49.25380865,0.0
191,3,Junction,-123.1965736,49.25471224,0.0
192,3,Junction,-123.196566,49.25561628,0.0
193,3,Junction,-123.1965595,49.25651976,0.0
194,3,Junction,-123.196551,49.25752177,0.0
195,3,Junction,-123.1965467,49.25809536,0.0
196,3,Junction,-123.1964884,49.26466316,0.2064075371174136
197,3,Junction,-123.1957631,49.26493245,0.0
198,3,Junction,-123.1955862,49.26537299,0.0
199,3,Junction,-123.1953348,49.26455784,0.0
200,2,Junction,-123.1947012,49.2298473,0.5870367819374844
201,2,Psudo,-123.1940583,49.23065514,0.0
202,3,Junction,-123.194079,49.25805988,0.0
203,3,Junction,-123.1940443,49.25905138,0.0
204,4,Junction,-123.1940127,49.25995523,0.0
205,4,Junction,-123.1939814,49.26085931,0.0
206,4,Junction,-123.1939494,49.26176485,0.0
207,4,Junction,-123.1939183,49.26266928,0.0
208,2,Psudo,-123.1937861,49.23185864,0.0
209,4,Junction,-123.1938859,49.26359233,0.0
210,4,Junction,-123.193735,49.23370919,0.5151371174238033
211,4,Junction,-123.1937291,49.23645688,0.682554595010387
212,4,Junction,-123.1937256,49.23760616,0.0
213,4,Junction,-123.1937066,49.23476472,0.0
214,3,Junction,-123.1936979,49.23562906,0.0
215,4,Junction,-123.1936983,49.23860194,0.0
216,4,Junction,-123.1936938,49.23955151,0.2084924617347612
217,4,Junction,-123.1936882,49.24049689,0.5048858887870696
218,4,Junction,-123.1936742,49.24144425,0.0
219,4,Junction,-123.1936592,49.2424032,0.3244455298634257
220,4,Junction,-123.1936493,49.24335402,0.0
221,4,Junction,-123.1936408,49.24430364,0.0
222,4,Junction,-123.1936315,49.24525368,0.0
223,4,Junction,-123.1936224,49.24620371,0.5811664141181095
224,4,Junction,-123.1936131,49.2480991,0.0
225,3,Junction,-123.193603,49.2471524,0.4801414565714212
226,4,Junction,-123.1935938,49.25008744,0.0
227,3,Junction,-123.1935904,49.25108318,0.0
228,4,Junction,-123.1935824,49.25198775,0.0
229,4,Junction,-123.1935734,49.25289219,0.0
230,4,Junction,-123.1935647,49.25379695,0.8097278682212584
231,4,Junction,-123.1935558,49.254701,0.0
232,4,Junction,-123.1935473,49.25560558,0.0
233,4,Junction,-123.1935413,49.25651111,0.0
234,4,Junction,-123.1935346,49.25747549,0.0
235,3,Junction,-123.1935306,49.25805142,0.0
236,4,Junction,-123.1934781,49.26510122,1.0199714924991303
237,2,Psudo,-123.1934354,49.26494944,0.0
238,2,Junction,-123.1924191,49.23070998,0.2818606955404635
239,4,Junction,-123.1923446,49.23319799,0.0
240,4,Junction,-123.1923225,49.23476416,0.0
241,3,Junction,-123.1923052,49.23645288,0.0
242,3,Junction,-123.1922415,49.24619743,0.0
243,3,Junction,-123.1922335,49.24809268,0.0
244,1,Dead end,-123.1919495,49.27010363,0.0
245,1,Dead end,-123.1919408,49.27097677,0.3310330883210138
246,1,Dead end,-123.1912414,49.22086208,0.0
247,3,Junction,-123.1910965,49.22553495,0.4801414565714212
248,1,Dead end,-123.1911195,49.23228445,0.0
249,3,Junction,-123.1910675,49.22653051,0.7623427143471035
250,3,Junction,-123.1910411,49.22751197,0.0
251,2,Junction,-123.1910118,49.2283242,0.0
252,1,Dead end,-123.1910224,49.23162701,0.0
253,3,Junction,-123.1910081,49.23070306,0.0
254,4,Junction,-123.190953,49.23269527,0.0
255,3,Junction,-123.1910418,49.25801302,0.0
256,4,Junction,-123.1909529,49.23644887,0.0
257,4,Junction,-123.1909463,49.23759688,0.0
258,4,Junction,-123.190922,49.23476368,0.0
259,4,Junction,-123.1909367,49.23858844,0.0
260,4,Junction,-123.1909342,49.23953938,0.0
261,3,Junction,-123.1910055,49.25900674,0.0
262,4,Junction,-123.1909254,49.2404865,0.0
263,3,Junction,-123.1908669,49.22832344,0.0
264,4,Junction,-123.190911,49.24144033,0.0
265,4,Junction,-123.1909732,49.25991036,0.0
266,4,Junction,-123.1908971,49.24238979,0.2498370564584527
267,3,Junction,-123.1908889,49.24334108,0.0
268,4,Junction,-123.1908807,49.24429596,0.0
269,4,Junction,-123.1909416,49.26081542,0.0
270,4,Junction,-123.1908699,49.24524454,1.0067565375067642
271,4,Junction,-123.1908599,49.24619169,0.0
272,4,Junction,-123.1909099,49.26171897,0.0
273,4,Junction,-123.1908512,49.24808632,0.0
274,3,Junction,-123.1908413,49.2490358,0.6556592205741436
275,4,Junction,-123.1908331,49.25007759,0.0
276,4,Junction,-123.1908792,49.26262453,0.6426116020847181
277,4,Junction,-123.1908249,49.25107308,0.0
278,4,Junction,-123.1908167,49.25197755,0.0
279,4,Junction,-123.190808,49.25288198,0.0
280,4,Junction,-123.1908477,49.26354685,0.4386175018099107
281,4,Junction,-123.1907988,49.25378677,0.0
282,4,Junction,-123.1907914,49.25469175,0.0
283,4,Junction,-123.190782,49.25559625,0.0
284,4,Junction,-123.1907765,49.25650018,0.0
285,4,Junction,-123.1907713,49.25743244,0.4006846529515405
286,3,Junction,-123.1907683,49.25800913,0.6689717585696803
287,3,Junction,-123.1906432,49.26870125,1.2199094675990303
288,3,Junction,-123.1906082,49.2695939,0.3966778064220251
289,3,Junction,-123.1905876,49.27009526,0.0
290,3,Junction,-123.1897116,49.23223351,0.0
291,4,Junction,-123.1896355,49.23476272,0.0
292,2,Junction,-123.1896136,49.23069622,0.0
293,3,Junction,-123.1895935,49.23644505,0.0
294,3,Junction,-123.1895588,49.23217645,0.0
295,2,Junction,-123.1894514,49.27008823,1.030644389817803
296,3,Junction,-123.1894455,49.27046794,0.0
297,3,Junction,-123.1894306,49.27138036,0.0
298,3,Junction,-123.1894268,49.2716036,0.0
299,4,Junction,-123.1884447,49.23176036,0.0
300,1,Dead end,-123.1884343,49.23012245,0.0
301,4,Junction,-123.1883544,49.23476207,0.0
302,4,Junction,-123.1881938,49.23644084,0.0
303,4,Junction,-123.1881851,49.2375852,0.1885568451673771
304,4,Junction,-123.1881812,49.23858008,0.0
305,4,Junction,-123.1881752,49.23953003,0.4520436502664753
306,4,Junction,-123.188162,49.24047673,0.0
307,4,Junction,-123.1881534,49.24142815,0.8016305895390459
308,3,Junction,-123.1881434,49.24237684,0.0
309,3,Junction,-123.188121,49.24428252,0.3024044356690215
310,4,Junction,-123.1881102,49.24523111,0.0
311,3,Junction,-123.1880994,49.24617978,0.0
312,1,Dead end,-123.1880937,49.24712377,0.0
313,3,Junction,-123.1880893,49.24807085,0.0
314,4,Junction,-123.1880798,49.24902137,0.0
315,4,Junction,-123.1880715,49.25006695,0.0
316,4,Junction,-123.1880607,49.25106136,0.0
317,4,Junction,-123.1880524,49.25196867,0.0
318,4,Junction,-123.1880435,49.25287173,0.0
319,4,Junction,-123.1880354,49.25377626,0.0
320,4,Junction,-123.1880263,49.25468119,0.0
321,4,Junction,-123.1880187,49.25558567,0.0
322,4,Junction,-123.1880109,49.2564892,0.0
323,4,Junction,-123.1880048,49.25739181,0.0
324,4,Junction,-123.1880006,49.25796729,0.2127257032290187
325,4,Junction,-123.1879651,49.25896141,0.0
326,4,Junction,-123.1879328,49.25986644,0.0
327,4,Junction,-123.1879005,49.26076953,0.0
328,4,Junction,-123.1878682,49.26167556,0.4342313267918116
329,4,Junction,-123.1878364,49.26257919,0.2904884943099637
330,4,Junction,-123.1878066,49.26350237,0.697138686728984
331,4,Junction,-123.1877711,49.26438902,0.0
332,4,Junction,-123.1877364,49.26525749,0.4531840172852237
333,3,Junction,-123.1877032,49.2660964,0.0
334,3,Junction,-123.1876699,49.26693482,0.0
335,3,Junction,-123.1876361,49.26779162,0.355160814705073
336,4,Junction,-123.1876026,49.2686497,0.9419339232706804
337,4,Junction,-123.1875669,49.26954317,0.8176816438122119
338,4,Junction,-123.187531,49.27043596,1.8785603591722
339,4,Junction,-123.1874953,49.27134791,0.3966778064220251
340,3,Junction,-123.1874569,49.27229399,0.270754259511994
341,3,Junction,-123.1869636,49.22830117,0.2847077732731954
342,4,Junction,-123.1868957,49.23118176,0.3411660615140424
343,4,Junction,-123.1868261,49.23476176,0.0
344,3,Junction,-123.1867949,49.23643688,0.0
345,3,Junction,-123.1867353,49.24617388,0.2847077732731954
346,4,Junction,-123.1867279,49.24711822,0.2399924795841344
347,3,Junction,-123.1867205,49.24806574,0.0
348,3,Junction,-123.1860739,49.25793803,0.0
349,4,Junction,-123.1860382,49.25893261,0.0
350,4,Junction,-123.186005,49.25983672,0.0
351,3,Junction,-123.1859725,49.26074174,0.0
352,2,Junction,-123.1859414,49.26117552,0.0
353,4,Junction,-123.1859245,49.26164527,0.0
354,4,Junction,-123.1858918,49.26254981,0.0
355,4,Junction,-123.1858735,49.2634736,1.7375958321323397
356,4,Junction,-123.1858413,49.26435866,0.0
357,4,Junction,-123.185809,49.26522323,0.5696012024771592
358,4,Junction,-123.1857791,49.26606328,0.3697296376497264
359,4,Junction,-123.1857504,49.26690309,0.0
360,4,Junction,-123.1857189,49.26776011,3.123505228392246
361,4,Junction,-123.185687,49.26861743,0.0
362,2,Junction,-123.1855063,49.22549799,0.0
363,4,Junction,-123.1856541,49.26951052,1.0253888582238702
364,4,Junction,-123.1854902,49.22649301,0.0
365,4,Junction,-123.1854746,49.22747347,0.0
366,4,Junction,-123.1856212,49.27040429,1.744090295068913
367,3,Junction,-123.1854616,49.22829266,0.0
368,3,Junction,-123.1854574,49.22855876,0.0
369,3,Junction,-123.1854445,49.22935619,0.7177305325982749
370,4,Junction,-123.1855858,49.27131629,0.0
371,4,Junction,-123.1854188,49.23064114,0.0
372,4,Junction,-123.1855509,49.27226262,0.9579022517811128
373,3,Junction,-123.1853778,49.23221236,0.0
374,3,Junction,-123.1855285,49.27288305,0.0
375,1,Dead end,-123.1855149,49.27325178,0.0
376,3,Junction,-123.1853605,49.23285438,0.0
377,3,Junction,-123.185342,49.23380658,0.0
378,4,Junction,-123.1853236,49.23476066,0.2847077732731954
379,3,Junction,-123.1853054,49.23569624,0.8970145459134162
380,4,Junction,-123.1852921,49.23643239,0.5639051904523875
381,3,Junction,-123.1852914,49.236901,0.0
382,3,Junction,-123.1852857,49.23757501,0.0
383,3,Junction,-123.1852844,49.23773593,0.7177305325982749
384,4,Junction,-123.1852767,49.23856966,0.6450250389273244
385,4,Junction,-123.1852725,49.2395185,0.0
386,4,Junction,-123.1852644,49.24046706,0.0
387,4,Junction,-123.1852555,49.2414163,0.7177305325982749
388,4,Junction,-123.1852477,49.24236312,0.0
389,3,Junction,-123.1852356,49.24331507,0.0
390,4,Junction,-123.1852238,49.24426774,0.7729351734194302
391,4,Junction,-123.1852149,49.24521586,0.5582661385478637
392,4,Junction,-123.1852061,49.24616573,0.6012034900925661
393,4,Junction,-123.1851981,49.24711547,0.0
394,4,Junction,-123.1851889,49.2480613,1.4330081669641437
395,4,Junction,-123.1851809,49.24901297,1.949483459289943
396,3,Junction,-123.1852204,49.26068411,0.0
397,4,Junction,-123.1851705,49.25005519,0.4006846529515405
398,4,Junction,-123.1851605,49.25105076,1.109544112192093
399,4,Junction,-123.1851508,49.25195566,0.4753400420057069
400,4,Junction,-123.1851418,49.25285999,0.0
401,4,Junction,-123.1851328,49.25376512,0.0
402,4,Junction,-123.1851238,49.2546696,0.0
403,4,Junction,-123.1851148,49.2555739,0.4612219674180954
404,4,Junction,-123.1851119,49.25647839,0.7105532272722921
405,4,Junction,-123.1851027,49.25734613,0.5099857462495653
406,3,Junction,-123.1850969,49.25792356,0.8950464275276212
407,2,Psudo,-123.184506,49.23157306,0.0
408,2,Junction,-123.1842185,49.21803996,0.0
409,3,Junction,-123.1840006,49.25790717,0.0
410,4,Junction,-123.183965,49.25890171,0.0
411,4,Junction,-123.1839322,49.25980614,0.1885568451673771
412,2,Junction,-123.1839,49.26070861,0.0
413,4,Junction,-123.1838677,49.26161269,0.0
414,3,Junction,-123.1837066,49.21931317,0.0
415,4,Junction,-123.1838353,49.26251777,0.0
416,4,Junction,-123.1838024,49.26344081,0.0
417,2,Psudo,-123.1837864,49.26388786,0.0
418,4,Junction,-123.1837704,49.26432592,1.6218178331312256
419,4,Junction,-123.1837384,49.26519288,0.0
420,4,Junction,-123.1837079,49.26603197,0.0
421,1,Dead end,-123.1835736,49.23077722,0.0
422,4,Junction,-123.1836774,49.26687047,0.0
423,4,Junction,-123.1836454,49.26772532,0.0
424,4,Junction,-123.1836016,49.26858425,0.5811664141181095
425,4,Junction,-123.1835812,49.26947784,0.421334222154768
426,2,Junction,-123.1835723,49.27279429,0.0
427,4,Junction,-123.1835481,49.27037115,0.0
428,3,Junction,-123.1834504,49.24805491,0.0
429,4,Junction,-123.1834409,49.24900501,0.0
430,4,Junction,-123.1835134,49.2712827,0.0
431,3,Junction,-123.1834307,49.25004839,1.0041576618707049
432,4,Junction,-123.1834817,49.27213503,0.617290140942288
433,1,Dead end,-123.1829296,49.22652123,0.0
434,3,Junction,-123.1828066,49.22150616,0.0
435,2,Junction,-123.1821608,49.22745031,0.0
436,4,Junction,-123.1820737,49.2285353,0.0
437,3,Junction,-123.1820594,49.22933369,0.0
438,4,Junction,-123.1820455,49.23014918,0.611117239532865
439,3,Junction,-123.1820337,49.23168983,0.2170448966728075
440,2,Junction,-123.1820002,49.22348605,0.0
441,4,Junction,-123.1820299,49.23214923,0.0
442,4,Junction,-123.1820227,49.23284914,0.0
443,4,Junction,-123.1820174,49.23380114,0.2448652990349294
444,4,Junction,-123.1820105,49.23475395,1.7569025859242318
445,4,Junction,-123.1820036,49.23567785,0.2574846067639487
446,4,Junction,-123.1819989,49.23641647,0.536268225207185
447,4,Junction,-123.1819922,49.23688914,0.0
448,3,Junction,-123.1820669,49.25787788,0.0
449,4,Junction,-123.1819884,49.237722,0.0
450,4,Junction,-123.1819781,49.23855815,0.0
451,4,Junction,-123.1819767,49.23950565,0.525596487525562
452,4,Junction,-123.1820303,49.25887174,0.0
453,4,Junction,-123.1819617,49.24045442,0.0
454,4,Junction,-123.1819535,49.24140389,0.0
455,4,Junction,-123.181945,49.2423534,0.2680467169168741
456,4,Junction,-123.1819988,49.25977484,0.0
457,4,Junction,-123.1819347,49.2433057,0.0
458,4,Junction,-123.1819234,49.24425418,0.0
459,4,Junction,-123.1819155,49.24520275,0.5811664141181095
460,4,Junction,-123.1819656,49.26067892,0.0
461,4,Junction,-123.1819065,49.24615223,0.2170448966728075
462,4,Junction,-123.1818976,49.24710036,1.2397159202067545
463,4,Junction,-123.1819334,49.26158247,0.0
464,4,Junction,-123.1818703,49.25004211,0.0
465,4,Junction,-123.1818604,49.251037,0.0
466,4,Junction,-123.1818994,49.26248655,0.0
467,4,Junction,-123.1818516,49.25194099,1.025982704507355
468,4,Junction,-123.1818425,49.25284687,0.2653662497477053
469,4,Junction,-123.1818332,49.25375131,0.0
470,4,Junction,-123.1818665,49.26341059,0.0
471,4,Junction,-123.1818259,49.25465602,0.0
472,4,Junction,-123.1817914,49.24804879,0.0
473,4,Junction,-123.1818173,49.25556093,0.0
474,4,Junction,-123.1817825,49.24899736,0.0
475,4,Junction,-123.1818087,49.2564641,0.0
476,4,Junction,-123.1818345,49.2642957,1.112579762267712
477,3,Junction,-123.1818021,49.25729759,0.0
478,3,Junction,-123.1817976,49.25787391,0.0
479,4,Junction,-123.1817954,49.2651632,0.2762516676992083
480,4,Junction,-123.1817727,49.26600134,0.0
481,4,Junction,-123.1817419,49.26683931,0.0
482,4,Junction,-123.1817115,49.26769288,0.0
483,4,Junction,-123.1816802,49.26855326,0.2064075371174136
484,4,Junction,-123.1816471,49.26944711,0.0
485,4,Junction,-123.1816139,49.27034047,0.0
486,4,Junction,-123.1815801,49.27125157,0.4998370298991989
487,3,Junction,-123.1815546,49.27193786,0.0
488,1,Dead end,-123.1813194,49.22853002,0.0
489,1,Dead end,-123.1806548,49.21767033,0.0
490,3,Junction,-123.1807813,49.25785858,0.0
491,3,Junction,-123.1803205,49.23014117,0.0
492,1,Dead end,-123.1802024,49.21677226,0.6556592205741436
493,1,Dead end,-123.1802193,49.25690465,0.0
494,1,Dead end,-123.1799917,49.23122642,0.0
495,3,Junction,-123.1800648,49.25645748,0.2236886739786474
496,3,Junction,-123.1800625,49.25784732,0.0
497,4,Junction,-123.1800269,49.2588391,0.0
498,4,Junction,-123.1799945,49.2597431,0.0
499,4,Junction,-123.1799641,49.260645,0.0
500,4,Junction,-123.1799297,49.26155132,0.2084924617347612
501,4,Junction,-123.1798965,49.26245485,0.0
502,4,Junction,-123.1798631,49.26337936,0.0
503,4,Junction,-123.1798309,49.26426401,1.0446137565136115
504,4,Junction,-123.1797999,49.26512941,0.2680467169168741
505,4,Junction,-123.1797691,49.26596968,0.0
506,2,Junction,-123.1797136,49.25645606,0.0
507,4,Junction,-123.1797389,49.26680773,0.0
508,4,Junction,-123.1797079,49.26765923,0.0
509,4,Junction,-123.1796755,49.26852147,0.5201535431839037
510,4,Junction,-123.179644,49.26941618,0.5416850759668536
511,4,Junction,-123.1796121,49.27030835,0.0
512,4,Junction,-123.1795796,49.27121871,0.0
513,4,Junction,-123.1795618,49.27173402,0.0
514,1,Dead end,-123.1795491,49.27207579,0.0
515,3,Junction,-123.1792079,49.25464538,0.0
516,3,Junction,-123.1791989,49.25555127,0.0
517,4,Junction,-123.1790297,49.21856599,0.0
518,4,Junction,-123.1789482,49.22145983,0.0
519,4,Junction,-123.178893,49.22345106,0.0
520,3,Junction,-123.1788669,49.2243999,0.0
521,3,Junction,-123.1788377,49.22543962,0.0
522,3,Junction,-123.1787823,49.22742947,0.0
523,3,Junction,-123.1787559,49.22851297,0.0
524,4,Junction,-123.1787162,49.23014252,0.0
525,3,Junction,-123.1787125,49.23212894,0.5753547499769285
526,4,Junction,-123.1787116,49.23284085,0.0
527,3,Junction,-123.1787098,49.23379408,0.0
528,4,Junction,-123.1787061,49.23474818,0.2934227215252159
529,3,Junction,-123.1787014,49.23566471,0.0
