StreetID,hblock,streetName,PseudoJunctionCount,pseudoJunctionID1,pseudoJunctionID2,adjustJunctionID1,adjustJunctionID2,adjustStreetID1,adjustStreetID2,streetType,PropertyCount,Avg_CURRENT_LAND_VALUE,SD_CURRENT_LAND_VALUE,Avg_CURRENT_IMPROVEMENT_VALUE,SD_CURRENT_IMPROVEMENT_VALUE,Avg_ASSESSMENT_YEAR,SD_ASSESSMENT_YEAR,Avg_PREVIOUS_LAND_VALUE,SD_PREVIOUS_LAND_VALUE,Avg_PREVIOUS_IMPROVEMENT_VALUE,SD_PREVIOUS_IMPROVEMENT_VALUE,Avg_YEAR_BUILT,SD_YEAR_BUILT,Avg_BIG_IMPROVEMENT_YEAR,SD_BIG_IMPROVEMENT_YEAR,Avg_ALL24,Avg_ALL8_9,Avg_ALL10_16,Avg_ALL17_18,Shape_Length,Landuse,latitude,longitude
18,0-100 W 63RD AV,W 63RD AV,0,0,0,2855,2966,,, Residential,36.0,1024055.556,84124.71845,164241.6667,218173.3785,2013.0,0.0,969083.3333,75995.62957,164297.2222,208377.8594,1968.388889,21.47061484,1969.944444,20.10535742,,,,,251.2090146,"S110, S110, S110, S110, S110, S110, S110, S110, ",49.213372,-123.108857
19,0-100 W KENT AV NORTH,W KENT AV NORTH,0,0,0,2845,2949,,, Secondary Arterial,4.0,755000.0,157397.5858,441500.0,153193.7771,2013.0,0.0,794750.0,165572.4917,353825.0,234548.3372,1978.0,10.03327796,1980.5,7.593857167,,,,,248.9732191,"S200, S300, S300, S300, S300, S300, S700, ",49.206862,-123.108574
20,0-100 W KENT AV SOUTH,W KENT AV SOUTH,0,0,0,2844,2948,,, Secondary Arterial,,,,,,,,,,,,,,,,,,,,252.2173489,"S300, S700, U100, ",49.20647045,-123.1081607
21,0-200 W 58TH AV,W 58TH AV,0,0,0,2809,2977,,, Residential,,,,,,,,,,,,,,,,,,,,350.0701942,"R100, R100, S110, S110, S131, S400, ",49.21814,-123.126238
22,0 ALEXANDER ST,ALEXANDER ST,0,0,0,3060,3160,,, Arterial,131.0,479915.3846,1000180.085,231833.8462,227726.7619,2013.0,0.0,452038.4615,895700.5954,231950.0,240951.0456,1972.723077,37.7334625,1994.5,6.181053822,0.0,0.0,0.0,0.0,159.7293499,"S135, S200, S200, S200, S200, S230, S235, S235, S700, ",49.283316,-123.103956
23,0 ATHLETES WAY,ATHLETES WAY,0,0,0,2991,3051,,, Residential,,,,,,,,,,,,,,,,,,,,106.960865,"R100, R100, S200, S235, ",49.271509,-123.104692
24,0 ATHLETES WAY,ATHLETES WAY,0,0,0,2964,2991,,, Residential,,,,,,,,,,,,,,,,,,,,42.98341588,"R100, R100, S135, S235, ",49.271509,-123.104692
25,0 BOUNDARY ROAD,BOUNDARY ROAD,0,0,0,6552,6553,,, Secondary Arterial,7.0,712571.4286,20321.22981,89142.85714,70168.55557,2013.0,0.0,679142.8571,16221.67862,91114.28571,72540.80297,1945.0,27.64054992,1960.857143,24.19661527,1980.5,247.5,797.5,413.6666667,100.6587315,"S110, S110, S110, ",49.286154,-123.023556
26,0 CASSIAR ST,CASSIAR ST,0,0,0,6255,6256,,, Residential,7.0,616714.2857,89406.77507,78371.42857,93295.43959,2013.0,0.0,613714.2857,89259.38659,79200.0,95760.16917,1943.0,27.20906712,1966.0,26.94438717,,,,,100.5891557,"R100, S110, S110, S110, S110, ",49.2490123,-123.030854
27,0 COMMERCIAL DRIVE,COMMERCIAL DRIVE,0,0,0,4529,0,,, Residential,1.0,1386000.0,,7623000.0,,2013.0,,1157000.0,,8809000.0,,1980.0,,1982.0,,,,,,56.28805943,"S235, S300, S300, S700, ",49.284253,-123.070357
28,0 DIEPPE PLACE,DIEPPE PLACE,0,0,0,6409,6418,,, Residential,12.0,810916.6667,41359.7484,240350.0,182414.9191,2013.0,0.0,802666.6667,42463.53159,204883.3333,161117.184,1977.833333,27.68272626,1983.416667,22.77741438,,,,,152.6583179,"R100, R100, S110, S110, S110, ",49.25646,-123.026714
29,0 DRAKE ST,DRAKE ST,0,0,0,2440,0,,, Residential,,,,,,,,,,,,,,,,,,,,116.9069347,"R100, R200, S135, S135, S235, ",49.272312,-123.121949
30,0 DUNLEVY AV,DUNLEVY AV,0,0,0,3487,0,,, Residential,3.0,1318533.333,1368724.283,58733.33333,16223.54256,2013.0,0.0,1243400.0,1322074.381,58400.0,16800.89283,1946.0,,1970.0,,,,,,53.16775433,"S200, S300, S300, S300, S600, S700, ",49.284791,-123.095252
31,0 DUNLEVY AV,DUNLEVY AV,0,0,0,3486,3487,,, Residential,2.0,1.0,0.0,1.0,0.0,2013.0,0.0,1.0,0.0,1.0,0.0,1995.0,0.0,1995.0,0.0,,,,,95.38052959,"S130, S135, S200, S300, S300, S300, S300, S300, ",49.284791,-123.095252
32,0 E 10TH AV,E 10TH AV,0,0,0,3032,3113,,, Residential,54.0,328944.4444,422894.7153,255829.6296,541589.0626,2013.0,0.0,328655.5556,400437.1982,248181.4815,439242.398,1981.037037,24.94292577,1982.944444,20.27398804,0.0,0.0,0.0,0.0,140.7053936,"S110, S130, S130, S130, S131, S135, S230, S400, S400, ",49.262086,-123.104888
33,0 E 11TH AV,E 11TH AV,0,0,0,3030,3112,,, Residential,3.0,2151666.667,1112613.29,1783333.333,825518.2211,2013.0,0.0,1989000.0,995000.0,1638666.667,740852.4369,1965.333333,4.618802154,1965.333333,4.618802154,0.0,0.0,0.0,0.0,140.7684941,"S110, S110, S130, S130, S130, S400, S400, ",49.26117,-123.104866
34,0 E 12TH AV,E 12TH AV,0,0,0,3026,3111,,, Secondary Arterial,10.0,1367300.0,1412981.721,718700.0,779123.5888,2013.0,0.0,1286100.0,1275163.384,660200.0,745050.304,1928.3,34.00996586,1977.4,12.46506229,,,,,140.7665217,"S110, S110, S110, S110, S130, S130, S400, S400, S400, ",49.260278,-123.105036
35,0 E 13TH AV,E 13TH AV,0,0,0,3022,3110,,, Residential,31.0,341580.6452,182372.6541,112703.2258,87582.19181,2013.0,0.0,323580.6452,185731.6656,100764.5161,74167.36726,1974.290323,20.09675521,1976.516129,14.36400819,,,,,140.8733528,"S110, S110, S110, S110, S130, S130, S130, S131, S200, S400, ",49.259364,-123.104968
36,0 E 14TH AV,E 14TH AV,0,0,0,3018,3109,,, Residential,14.0,804642.8571,1077859.46,455571.4286,727219.2257,2013.0,0.0,821307.6923,999445.8785,478615.3846,793472.0682,1966.928571,33.06046741,1983.928571,10.9014063,,,,,140.965083,"S110, S110, S130, S130, S130, S130, S131, S200, ",49.257919,-123.090686
37,0 E 15TH AV,E 15TH AV,0,0,0,3016,3108,,, Residential,14.0,801166.6667,493278.9794,576733.3333,768725.4828,2013.0,0.0,766666.6667,458474.4135,552625.0,697732.9811,1938.75,33.20767983,1979.333333,16.7838306,0.0,0.0,0.0,0.0,141.0556266,"R100, S110, S110, S110, S130, S130, S130, S130, S130, S131, S131, S131, S410, ",49.25757,-123.105141
38,0 E 16TH AV,E 16TH AV,0,0,0,3014,3033,,, Secondary Arterial,2.0,1167500.0,174655.375,730500.0,871862.6612,2013.0,0.0,1128000.0,77781.74593,669000.0,779231.6729,1970.5,14.8492424,1970.5,14.8492424,,,,,18.16014317,"R100, S110, S130, S130, ",49.256635,-123.10451
39,0 E 16TH AV,E 16TH AV,0,0,0,3033,3105,,, Secondary Arterial,29.0,594964.2857,759606.013,335232.1429,440935.4879,2013.0,0.0,584214.2857,720614.9307,319075.0,426953.0711,1971.241379,31.46500911,1986.896552,14.18335248,,,,,122.8338477,"S110, S110, S110, S130, S130, S130, S130, ",49.256635,-123.10451
40,0 E 17TH AV,E 17TH AV,0,0,0,3028,3077,,, Residential,10.0,1089900.0,128959.4682,253310.0,197406.5261,2013.0,0.0,1114700.0,103021.0874,244480.0,196141.0082,1940.4,37.02911767,1976.8,25.0013333,,,,,77.00130068,"S110, S110, S110, S110, ",49.255754,-123.104877
41,0 E 17TH AV,E 17TH AV,0,0,0,3077,3103,,, Residential,3.0,1036666.667,31754.26481,110400.0,80044.23777,2013.0,0.0,1085666.667,33486.31561,114366.6667,81810.77761,1977.0,18.24828759,1977.0,18.24828759,,,,,47.23254002,"S110, S110, S110, S110, S110, ",49.255754,-123.104877
42,0 E 18TH AV,E 18TH AV,0,0,0,3021,3044,,, Residential,3.0,1066333.333,280014.8806,181900.0,216122.3496,2013.0,0.0,1054666.667,388558.018,188200.0,222788.6218,1915.0,8.660254038,1975.333333,12.66227994,,,,,23.46032312,"S110, S110, S110, S110, ",49.254682,-123.105054
43,0 E 18TH AV,E 18TH AV,0,0,0,3073,3100,,, Residential,11.0,1074111.111,106079.5037,191900.0,190301.9312,2013.0,0.0,1117555.556,107690.6578,205966.6667,182724.3005,1939.454545,41.87926369,1974.181818,30.28140744,,,,,47.27292648,"S110, S110, S110, S110, S110, S130, ",49.254682,-123.105054
44,0 E 18TH AV,E 18TH AV,0,0,0,3044,3073,,, Residential,6.0,956166.6667,194209.5947,79016.66667,91528.01575,2013.0,0.0,998000.0,200995.5223,78150.0,85759.26189,1933.5,34.94996423,1951.833333,32.89630172,,,,,55.30959508,"S110, S110, S110, S110, S130, ",49.254682,-123.105054
45,0 E 19TH AV,E 19TH AV,0,0,0,3041,3124,,, Residential,16.0,1015625.0,106961.5975,168306.25,112311.9018,2013.0,0.0,1056312.5,112743.7914,177806.25,107572.7566,1952.3125,30.65445862,1984.5,9.273618495,,,,,141.3100769,"S110, S110, S110, S110, S110, S110, S110, U100, ",49.253766,-123.104703
46,0 E 1ST AV,E 1ST AV,0,0,0,3050,3135,,, Residential,60.0,570483.9286,1600031.271,234866.0714,144307.8934,2013.0,0.0,4447571.429,2826012.141,1327828.571,3140728.388,2010.035714,6.630410067,2010.035714,6.630410067,4210.75,418.25,1698.75,726.75,140.8719618,"S200, S200, S200, S235, S300, S300, S300, ",49.270217,-123.104612
47,0 E 1ST AV,E 1ST AV,0,0,0,3135,3139,,, Residential,2.0,16508000.0,,12300.0,,2013.0,,2642000.0,,12000.0,,1946.0,0.0,1975.0,0.0,,,,,6.703839573,"S200, S200, S200, S300, ",49.270217,-123.104612
48,0 E 20TH AV,E 20TH AV,0,0,0,3039,3122,,, Residential,12.0,1016416.667,90009.55337,267150.0,131274.2341,2013.0,0.0,1057916.667,92661.12094,272091.6667,131586.2348,1918.916667,27.35443568,1985.0,11.8934665,,,,,141.824024,"S110, S110, S110, S110, S110, S110, S110, S110, S131, ",49.252767,-123.10475
49,0 E 21ST AV,E 21ST AV,0,0,0,3037,3118,,, Residential,17.0,1019000.0,75776.81044,195917.6471,136884.9345,2013.0,0.0,1061529.412,61155.65964,201811.7647,150900.5462,1926.823529,33.76432158,1985.352941,10.06194052,,,,,142.038906,"S110, S110, S110, S110, S110, S110, S110, S131, ",49.251871,-123.104794
50,0 E 22ND AV,E 22ND AV,0,0,0,3034,3115,,, Residential,19.0,1034736.842,91618.07324,253689.4737,126017.3661,2013.0,0.0,1072421.053,89874.18106,215894.7368,119158.5754,1931.789474,37.07886332,1980.894737,22.74714814,,,,,143.7234391,"S110, S110, S110, S110, S110, S110, S110, ",49.25099,-123.104898
51,0 E 23RD AV,E 23RD AV,0,0,0,3031,3116,,, Residential,22.0,801636.3636,270983.3144,125068.1818,106388.9467,2013.0,0.0,794000.0,319678.2609,103440.9091,76047.23256,1954.909091,33.69599254,1979.818182,14.50003732,,,,,150.4141975,"S110, S110, S110, S110, S110, S131, S400, ",49.249937,-123.104942
52,0 E 26TH AV,E 26TH AV,0,0,0,3023,3104,,, Residential,14.0,761142.8571,90233.76235,133578.5714,113431.1257,2013.0,0.0,787928.5714,73814.17863,130642.8571,106637.421,1945.428571,35.16273002,1979.285714,12.94026852,,,,,130.8412748,"S110, S110, S110, S110, S110, S110, S110, ",49.248076,-123.104923
53,0 E 27TH AV,E 27TH AV,0,0,0,3019,3102,,, Residential,19.0,793894.7368,94975.37385,123915.7895,96829.21542,2013.0,0.0,774210.5263,132845.5992,136926.3158,107853.0216,1958.105263,42.91709674,1972.368421,34.95427255,202.1,30.5,95.6,28.3,130.6547522,"S110, S110, S110, S110, S110, S130, S131, S400, ",49.246647,-123.094119
54,0 E 28TH AV,E 28TH AV,0,0,0,3015,3079,,, Residential,3.0,836333.3333,46188.02154,126966.6667,79624.13788,2013.0,0.0,850000.0,48497.42261,118266.6667,68827.41702,1946.0,36.51027253,1979.666667,8.386497084,376.6666667,46.16666667,175.6666667,59.66666667,89.8835217,"S110, S110, S110, S110, S110, S110, S110, S110, ",49.246024,-123.103773
55,0 E 29TH AV,E 29TH AV,0,0,0,3013,3078,,, Residential,2.0,845000.0,0.0,290500.0,171826.9478,2013.0,0.0,846000.0,0.0,232000.0,178190.9089,1973.0,43.84062043,1999.5,6.363961031,288.0,36.66666667,122.3333333,55.16666667,93.97286288,"R100, S110, S110, S110, S110, S110, S110, ",49.244526,-123.10402
56,0 E 29TH AV,E 29TH AV,0,0,0,3078,3136,,, Residential,2.0,1293000.0,0.0,173000.0,0.0,2013.0,0.0,1289000.0,0.0,149000.0,0.0,1911.0,0.0,1970.0,0.0,,,,,94.20423408,"S110, S110, S110, S110, S110, S110, S110, ",49.244526,-123.10402
57,0 E 2ND AV,E 2ND AV,0,0,0,3047,3132,,, Arterial,6.0,1556500.0,530713.011,2110183.333,2958651.355,2013.0,0.0,1389166.667,478443.4833,2496666.667,2621461.246,1975.5,36.14830563,1986.333333,17.82881563,0.0,0.0,0.0,0.0,140.8825297,"S200, S200, S200, S200, S300, S300, S300, S300, ",49.269039,-123.100805
58,0 E 30TH AV,E 30TH AV,0,0,0,3012,3072,,, Residential,3.0,4791000.0,5583315.144,1524500.0,1571898.375,2013.0,0.0,4862500.0,5685845.628,1563500.0,1706248.663,1987.5,28.99137803,1993.0,21.21320344,485.25,60.75,200.5,85.0,93.93640763,"R100, R100, S110, S110, S110, ",49.243326,-123.103606
59,0 E 30TH AV,E 30TH AV,0,0,0,3072,3133,,, Residential,2.0,970500.0,85559.92052,292500.0,21920.31022,2013.0,0.0,977000.0,83438.60018,271000.0,9899.494937,1985.5,9.192388155,1991.0,1.414213562,,,,,94.5674842,"R100, S110, S110, S110, S110, S110, ",49.243326,-123.103606
60,0 E 32ND AV,E 32ND AV,0,0,0,3129,0,,, Residential,2.0,19758000.0,26288815.91,162050.0,134279.5777,2013.0,0.0,20074500.0,26730757.65,162250.0,136825.1622,1971.0,21.21320344,1978.0,11.3137085,,,,,47.10800532,"R100, S110, S110, S110, S110, ",49.2413022,-123.0684474
61,0 E 33RD AV,E 33RD AV,0,0,0,3011,3064,,, Secondary Arterial,7.0,795142.8571,81548.40806,131742.8571,92132.8363,2013.0,0.0,802857.1429,81056.41774,129628.5714,85949.08792,1966.0,38.95724152,1982.285714,13.57343344,,,,,93.60483444,"R100, R100, S110, S110, S110, S131, ",49.240551,-123.104065
62,0 E 33RD AV,E 33RD AV,0,0,0,3064,3125,,, Secondary Arterial,5.0,750000.0,13416.40786,228700.0,172636.9601,2013.0,0.0,751000.0,20124.6118,181980.0,128985.0069,1982.6,44.29785548,1991.6,27.08874305,,,,,94.01045468,"S110, S110, S110, S110, S110, S130, S131, ",49.240551,-123.104065
63,0 E 37TH AV,E 37TH AV,0,0,0,3010,3096,,, Residential,13.0,815000.0,0.0,86784.61538,75189.34816,2013.0,0.0,805000.0,0.0,88084.61538,75447.66228,1944.846154,30.767532,1971.846154,11.86624171,624.5,79.5,256.5,102.0,140.7995813,"R100, S110, S110, S110, S131, ",49.237324,-123.105428
64,0 E 38TH AV,E 38TH AV,0,0,0,3008,3095,,, Residential,19.0,863263.1579,81377.61234,201252.6316,157955.5189,2013.0,0.0,852631.5789,79880.61267,170052.6316,133312.3541,1973.421053,28.87581801,1984.052632,15.95644657,0.0,0.0,0.0,0.0,140.7303839,"S110, S110, S110, S110, S110, S110, ",49.236421,-123.10544
65,0 E 39TH AV,E 39TH AV,0,0,0,3007,3092,,, Residential,22.0,834727.2727,9019.459482,170959.0909,144772.8258,2013.0,0.0,824727.2727,9019.459482,155740.9091,121976.9598,1966.954545,30.05626038,1979.954545,17.39588696,,,,,140.3195002,"S110, S110, S110, S110, S110, S110, ",49.234775,-123.089858
66,0 E 3RD AV,E 3RD AV,0,0,0,3046,3131,,, Residential,14.0,1157500.0,555080.9712,63476.92857,135325.9937,2013.0,0.0,1026357.143,492380.4981,127462.5,155708.7718,1967.0,10.90518578,1972.785714,7.37123903,,,,,140.8614904,"S200, S200, S200, S300, S300, S300, S300, ",49.26829,-123.104569
67,0 E 40TH AV,E 40TH AV,0,0,0,3005,3090,,, Residential,20.0,839450.0,47733.33272,123660.0,101866.5453,2013.0,0.0,829250.0,46844.50763,123910.0,101323.0108,1947.3,29.24146299,1976.65,14.14315903,,,,,140.7495459,"S110, S110, S110, S110, S110, S400, ",49.234605,-123.105525
68,0 E 41ST AV,E 41ST AV,0,0,0,3003,3083,,, Arterial,16.0,706125.0,62643.83449,108368.75,103866.913,2013.0,0.0,654125.0,57519.70677,108337.5,107149.0916,1958.125,30.510927,1972.375,21.70061443,,,,,140.6647231,"S110, S110, S110, S110, S110, S110, S110, ",49.233003,-123.100018
69,0 E 42ND AV,E 42ND AV,0,0,0,3000,3089,,, Residential,17.0,865941.1765,127147.7834,126958.8235,99246.09601,2013.0,0.0,853764.7059,124794.5959,117758.8235,99508.71858,1951.705882,28.45998222,1975.176471,13.27702571,168.2,30.2,71.7,28.6,148.1273592,"S110, S110, S110, S110, S110, S110, S400, ",49.231697,-123.105024
70,0 E 43RD AV,E 43RD AV,0,0,0,2998,3093,,, Residential,8.0,1097125.0,922449.1372,155025.0,128277.8541,2013.0,0.0,1079000.0,913341.7448,150375.0,114864.1776,1957.5,33.27804939,1979.375,17.22902451,488.5714286,78.92857143,195.8571429,85.78571429,155.6190069,"S110, S110, S110, S110, S110, S110, S110, S110, S400, ",49.230998,-123.105637
71,0 E 44TH AV,E 44TH AV,0,0,0,2996,3091,,, Residential,20.0,807200.0,46855.43276,116305.0,78887.49134,2013.0,0.0,794350.0,47175.23324,115190.0,77068.35585,1969.55,17.8398578,1974.8,13.53591713,,,,,155.5115365,"S110, S110, S110, S110, S110, S110, S110, S110, ",49.230382,-123.105669
72,0 E 45TH AV,E 45TH AV,0,0,0,2995,3088,,, Residential,23.0,823086.9565,19320.06268,116678.2609,99579.06843,2013.0,0.0,810000.0,16951.80334,113395.6522,94758.98844,1956.565217,30.98214455,1977.086957,17.45881659,186.0,15.25,76.0,38.75,154.7296574,"S110, S110, S110, S110, S110, S110, ",49.229459,-123.105717
73,0 E 46TH AV,E 46TH AV,0,0,0,2994,3086,,, Residential,22.0,821363.6364,10535.8592,145190.9091,108397.9569,2013.0,0.0,805545.4545,11333.58798,139513.6364,103239.7224,1965.772727,30.12028555,1977.454545,21.08876314,,,,,157.3820288,"S110, S110, S110, S110, S110, S110, ",49.228552,-123.105752
74,0 E 47TH AV,E 47TH AV,0,0,0,2993,3087,,, Residential,20.0,819950.0,5780.866808,141090.0,119005.2847,2013.0,0.0,807450.0,6303.507795,132405.0,107312.978,1957.15,31.48479165,1975.9,15.50857148,,,,,160.1002214,"S110, S110, S110, S110, S110, S110, S110, S110, ",49.227653,-123.105789
75,0 E 48TH AV,E 48TH AV,0,0,0,2992,3082,,, Residential,14.0,860785.7143,102803.9049,210300.0,213368.7419,2013.0,0.0,850142.8571,100915.6976,161092.8571,138635.8787,1972.0,32.4060773,1980.071429,22.81856291,,,,,158.8223688,"S110, S110, S110, S110, S110, S110, S110, S110, S110, S110, ",49.226731,-123.105295
76,0 E 49TH AV,E 49TH AV,0,0,0,2990,3081,,, Secondary Arterial,20.0,758750.0,64269.88736,138805.0,125705.7528,2013.0,0.0,730200.0,60902.51054,131585.0,111646.794,1960.35,26.57318593,1972.65,17.16567873,1581.214286,218.6428571,801.3571429,245.2857143,157.3437803,"R100, S110, S110, S110, S110, S110, S110, S110, ",49.225758,-123.105976
77,0 E 4TH AV,E 4TH AV,0,0,0,3045,3128,,, Residential,6.0,1169000.0,543704.3314,269233.3333,226130.3135,2013.0,0.0,1033166.667,487638.5615,327483.3333,221104.0698,1944.5,26.59135198,1974.166667,5.946988033,,,,,140.8107348,"S200, S200, S200, S200, S300, S300, S300, S300, ",49.267382,-123.104725
78,0 E 50TH AV,E 50TH AV,0,0,0,2989,3080,,, Residential,31.0,862903.2258,76274.65933,174429.0323,186217.1174,2013.0,0.0,867677.4194,75258.39359,132890.3226,136914.5046,1967.354839,34.08376778,1977.193548,23.7352331,240.5833333,39.83333333,121.6666667,28.5,157.5433269,"R100, S110, S110, S110, S400, ",49.224763,-123.103928
79,0 E 51ST AV,E 51ST AV,0,0,0,2986,3075,,, Residential,26.0,818538.4615,20068.34476,114053.8462,70899.59227,2013.0,0.0,823653.8462,20329.1757,107223.0769,63737.17476,1968.538462,22.32170382,1976.346154,16.00485503,211.6666667,35.83333333,98.83333333,30.08333333,157.5300395,"R100, S110, S110, S110, S110, ",49.223818,-123.103977
